ML,pChEMBL Value
0.031982854,1.0
0.0021645206,1.0
0.03016133,0.0
0.00080172595,0.0
0.933896,1.0
0.98233587,0.0
0.021580307,0.0
0.0010105969,0.0
0.0017322014,0.0
0.592176,0.0
0.034204353,0.0
0.98631763,0.0
0.0034728632,1.0
0.010694096,0.0
0.9906378,0.0
0.020018624,0.0
0.005863698,0.0
0.012271345,0.0
0.002912904,0.0
0.9927573,0.0
0.003710079,0.0
0.02005893,0.0
0.012595151,0.0
0.92563635,0.0
0.0171994,0.0
0.015544837,0.0
0.9194652,1.0
0.016562277,0.0
0.9806789,0.0
0.0036425123,0.0
0.025228785,0.0
0.00650284,0.0
0.00571488,1.0
0.27153137,0.0
0.007234373,0.0
0.9878902,0.0
0.6121467,0.0
0.010966237,1.0
0.7775714,0.0
0.0071305516,1.0
0.84606624,
0.021125449,0.0
0.0657342,0.0
0.9914102,0.0
0.0074603716,0.0
0.9210475,1.0
0.03844262,0.0
0.9924705,0.0
0.01245919,0.0
0.0032847621,0.0
0.021258835,0.0
0.99021274,0.0
0.90545774,1.0
0.009727562,1.0
0.69713944,0.0
0.016062943,0.0
0.8512171,0.0
0.0027713939,1.0
0.014108294,0.0
0.0048848283,1.0
0.9945392,0.0
0.3268114,0.0
0.006167624,1.0
0.021990655,0.0
0.010148377,
0.05201512,0.0
0.04591299,
0.012937159,0.0
0.0031125143,0.0
0.0050951946,1.0
0.993982,0.0
0.6545598,0.0
0.991968,0.0
0.01745447,1.0
0.99387205,0.0
0.0030381212,0.0
0.9596829,1.0
0.020578673,0.0
0.004381307,1.0
0.012804091,0.0
0.054255884,0.0
0.012454621,0.0
0.973884,0.0
0.055074584,0.0
0.0074965935,0.0
0.89990044,1.0
0.0173056,1.0
0.07365985,0.0
0.008698456,1.0
0.0130016785,0.0
0.00972712,1.0
0.006712127,0.0
0.0031613985,0.0
0.0089243725,1.0
0.023249716,0.0
0.0036382903,1.0
0.95338655,0.0
0.8826428,
0.95412046,1.0
0.02192847,0.0
0.0258693,0.0
0.93288124,0.0
0.10293193,
0.023777947,1.0
0.0017715666,1.0
0.007160188,0.0
0.0031611475,1.0
0.0054976055,0.0
0.9894077,1.0
0.8619435,0.0
0.26739463,0.0
0.9046559,0.0
0.981236,1.0
0.012820737,0.0
0.002832919,0.0
0.016299145,0.0
0.020856338,0.0
0.9955343,0.0
0.0060149515,0.0
0.9945051,0.0
0.2569593,0.0
0.009833045,
0.059679177,0.0
0.035119202,1.0
0.9862683,0.0
0.090077825,1.0
0.46473128,0.0
0.0034028564,1.0
0.8408589,0.0
0.11354506,1.0
0.963,0.0
0.0026688704,0.0
